id,masked,original
3114,i [MASK] [MASK] previously tickets [MASK] thank you [MASK] enjoy [MASK] show .,i have purchased your tickets . thank you and enjoy the show .
3115,what [MASK] [MASK] [MASK] family moving say next weekend [MASK] birmingham [MASK] al,"what is a good family moving playing next weekend in birmingham , al"
3116,zootopia for [MASK] tomorrow around 2 pm,zootopia for 2 tomorrow around 2 pm
3117,i [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3118,are there [MASK] [MASK] movies playing [MASK] birmingham [MASK] al wednesday [MASK] [MASK] pm,"are there any horror movies playing in birmingham , al wednesday around 2 pm"
3119,[MASK] witch [MASK] [MASK] showing [MASK] [MASK] you [MASK] interested [MASK] [MASK] ?,the witch is currently showing . would you be interested in that ?
3120,[MASK] [MASK] i [MASK] purchased [MASK] Theater. to [MASK] Evening [MASK] [MASK] [MASK] wednesday [MASK],"great , i have purchased 2 tickets to the witch at 8:30 on wednesday ."
3121,are [MASK] [MASK] [MASK] movies [MASK] theaters right now ?,are there any 3d movies in theaters right now ?
3122,sure . [MASK] day [MASK] you like [MASK] go ?,sure . what day would you like to go ?
3123,[MASK] [MASK] first 7ish available today [MASK],to the first showing available today please
3124,[MASK] earliest showing [MASK] [MASK] [MASK] [MASK] 11:45 work [MASK] you ?,"the earliest showing is 1:20 , would that work for you ?"
3125,i [MASK] successfully purchased [MASK] tickets [MASK] the [MASK] show [MASK] enjoy [MASK],i have successfully purchased 4 tickets to the 1:20 show ! enjoy !
3126,i want [MASK] [MASK] [MASK] comedy [MASK] [MASK] [MASK] [MASK] [MASK],i want to see a comedy movie tonight in atlanta .
3127,great [MASK] how many [MASK] [MASK] you need ?,"great , how many tickets will you need ?"
3128,i [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] [MASK] [MASK],i have purchased your tickets . thank you and enjoy the show .
3129,[MASK] [MASK] [MASK] you interested [MASK] [MASK] movie tickets ?,"hello , are you interested in purchasing movie tickets ?"
3130,i [MASK] happy! [MASK] see [MASK] you have [MASK] recommendations,i would like to see if you have any recommendations
3131,is there [MASK] specific genre you showing. ?,is there a specific genre you like ?
3132,"[MASK] there [MASK] other movies playing [MASK] [MASK] regal 2.5, in huntsville al",are there any other movies playing at the regal theater in huntsville al
3133,[MASK] ticket for whiskey tango check.,1 ticket for whiskey tango foxtrot
3134,[MASK] day [MASK] you like [MASK] 720pm ?,what day would you like to go ?
3135,i [MASK] like [MASK] see gods [MASK] egypt [MASK] 3d,i 'd like to see gods of egypt in 3d
3136,[MASK] ones [MASK] state [MASK] you [MASK] [MASK] ?,what city and state are you located in ?
3137,[MASK] date [MASK] time [MASK] you boss. [MASK] [MASK] ?,what date and time would you like to go ?
3138,thanks [MASK] [MASK] many tickets [MASK] you need ?,"thanks , how many tickets will you need ?"
3139,there is [MASK] [MASK] show at cinemark tinseltown usa [MASK] north aurora [MASK] [MASK] that acceptable ?,there is a 6:20 show at cinemark tinseltown usa - north aurora . is that acceptable ?
3140,i [MASK] purchased your tickets [MASK] thank you [MASK] [MASK] [MASK] show .,i have purchased your tickets . thank you and enjoy the show .
3141,there is [MASK] [MASK] showing [MASK] [MASK] [MASK] [MASK] . [MASK] that acceptable ?,there is a 4:10 showing at the edge 12 . is that acceptable ?
3142,great [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] show [MASK] enjoy [MASK] movie [MASK],"great , i have purchased 2 tickets for the 4:10 show , enjoy the movie ."
3143,[MASK] [MASK] [MASK] you interested [MASK] purchasing movie tickets ?,"hello , are you interested in purchasing movie tickets ?"
3144,"[MASK] [MASK] , [MASK] [MASK] regal movie theater [MASK] huntsville al [MASK]","yes please , at the regal movie theater in huntsville al ."
3145,when [MASK] you like [MASK] go ?,when would you like to go ?
3146,[MASK] movie [MASK] you like [MASK] Maybe ?,what movie would you like to see ?
3147,there is [MASK] [MASK] [MASK] [MASK] [MASK] Beach. tomorrow [MASK] [MASK] [MASK] [MASK] [MASK] prefer ?,there is a 4:10 and a 9:55 showing tomorrow . which time would you prefer ?
3148,one tickets [MASK] [MASK] successfully purchased [MASK] thank you [MASK] enjoy [MASK],one tickets have been successfully purchased . thank you and enjoy !
3149,"are there [MASK] romantic movies playing [MASK] tampa , fl [MASK] ?","are there any romantic movies playing in tampa , fl tomorrow ?"
3150,[MASK] [MASK] i want [MASK] tickets for [MASK] pm,yes . i want 8 tickets for 7:00 pm
3151,i [MASK] purchased [MASK] tickets [MASK] thank 10:05 [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3152,bunch? 's [MASK] [MASK] pm [MASK] [MASK] carmike [MASK] summit [MASK] [MASK] you [MASK] [MASK] book that ?,there 's a 2 pm showing at carmike the summit . would you like to book that ?
3153,alright [MASK] tickets [MASK] [MASK] successfully purchased [MASK] [MASK] [MASK] monday [MASK] thanks [MASK] enjoy [MASK],alright 2 tickets have been successfully purchased at 2 pm monday . thanks and enjoy !
3154,hello [MASK] [MASK] you noonish [MASK] [MASK] movie tickets ?,"hello , are you interested in purchasing movie tickets ?"
3155,thanks [MASK] family? many tickets [MASK] you need ?,"thanks , how many tickets will you need ?"
3156,there is [MASK] 9:55 showing [MASK] the regal hollywood [MASK] [MASK] [MASK] [MASK] purchase 55416 [MASK] ?,there is a 9:55 showing at the regal hollywood 18 . should i purchase your tickets ?
3157,i [MASK] purchased your tickets . Pittsburgh you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3158,"[MASK] , Ill [MASK] [MASK] top [MASK] movies [MASK] nephew right now ?","hello , what are the top 3 movies in theaters right now ?"
3159,[MASK] city [MASK] state [MASK] 910pm located [MASK] ?,what city and state are you located in ?
3160,[MASK] date [MASK] time [MASK] you appropriate [MASK] go ?,what date and time would you like to go ?
3161,"[MASK] , [MASK] [MASK] tell me what 's coming up Believe week ?","hi , could you tell me what 's coming up next week ?"
3162,[MASK] [MASK] [MASK] you recommend ?,which one do you recommend ?
3163,advice [MASK] i [MASK] most excited [MASK] allegiant [MASK],"personally , i 'm most excited about allegiant ."
3164,[MASK] i [MASK] [MASK] [MASK] purchase tickets [MASK] allegiant ?,would i be able to purchase tickets for allegiant ?
3165,i [MASK] purchased 1245. tickets [MASK] thank 24. [MASK] [MASK] [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3166,[MASK] i get WHAT [MASK] [MASK] cloverfield lane tomorrow [MASK] [MASK] pm ?,can i get tickets for 10 cloverfield lane tomorrow at 8 pm ?
3167,[MASK] city [MASK] [MASK] [MASK] [MASK] located [MASK] ?,what city and state are you located in ?
3168,[MASK] theater [MASK] you want [MASK] go [MASK] ?,which theater do you want to go to ?
3169,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] 8:15 showing [MASK],i have successfully purchased 2 tickets to the 8:15 showing .
3170,thank you [MASK] using our [MASK] [MASK] good bye [MASK],"thank you for using our service , good bye ."
3171,i [MASK] like tickets [MASK] [MASK] [MASK] [MASK] family movie [MASK] dallas tomorrow afternoon,i 'd like tickets for 4 to a family movie in dallas tomorrow afternoon
3172,[MASK] you [MASK] [MASK] see it in [MASK] [MASK] [MASK] standard 2d showing ?,would you like to see it in 3d or the standard 2d showing ?
3173,party is [MASK] 4:15 showing [MASK] [MASK] i purchase your [MASK] ?,there is a 4:15 showing . should i purchase your tickets ?
3174,i [MASK] successfully purchased [MASK] tickets [MASK] [MASK] Will showing [MASK] enjoy [MASK],i have successfully purchased 4 tickets to the 4:15 showing . enjoy !
3175,"thanks [MASK] i [MASK] purchased [MASK] 11a.m. [MASK] you , enjoy [MASK] show [MASK]","thanks , i have purchased those tickets for you , enjoy the show ."
3176,[MASK] [MASK] have [MASK] movie [MASK] genre [MASK] 18 ?,do you have a movie or genre in mind ?
3177,"purchase, [MASK] [MASK] zoo movie [MASK] long [MASK] think [MASK]","what about that zoo movie , family i think ."
3178,[MASK] ? [MASK] you like to see [MASK] [MASK] [MASK] d [MASK] [MASK] thurs 2d showing ?,zootopia ? would you like to see it in 3 d or the standard 2d showing ?
3179,i [MASK] purchased your tickets [MASK] thank [MASK] [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3180,[MASK] [MASK] [MASK] [MASK] interested [MASK] purchasing movie tickets ?,"hello , are you interested in purchasing movie tickets ?"
3181,there is [MASK] [MASK] [MASK] [MASK] 10:55 showing [MASK] [MASK] [MASK] [MASK] [MASK] serve? [MASK] you ?,"there is a 5:20 and a 10:55 showing , would either of those work for you ?"
3182,i [MASK] purchased your tickets [MASK] Mesquite. you [MASK] enjoy the show .,i have purchased your tickets . thank you and enjoy the show .
3183,i need [MASK] tickets [MASK] whiskey tango foxtrot [MASK] [MASK] [MASK] pm showing tonight [MASK] seattle,i need 3 tickets to whiskey tango foxtrot at a 7 pm showing tonight in seattle
3184,are there [MASK] new dramas playing ?,are there any new dramas playing ?
3185,[MASK] hi! [MASK] [MASK] [MASK] you located [MASK] ?,what city and state are you located in ?
3186,[MASK] date [MASK] time [MASK] you like [MASK] go ?,what date and time would you like to go ?
3187,march 14 [MASK] 3:00 pm,march 14 around 3:00 pm
3188,thank you [MASK] how many [MASK] [MASK] you need ?,"thank you , how many tickets will you need ?"
3189,i [MASK] purchased [MASK] tickets [MASK] thank Three's [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3190,[MASK] [MASK] [MASK] you interested [MASK] [MASK] movie tickets today ?,hi . are you interested in purchasing movie tickets today ?
3191,[MASK] [MASK] [MASK] huntsville al [MASK] probably [MASK] [MASK] regal Thanks.,"yes , in huntsville al , probably at the regal theater"
3192,[MASK] date [MASK] time [MASK] you like [MASK] go ?,what date and time would you like to go ?
3193,i need [MASK] purchase tickets [MASK] [MASK] wenesday [MASK] [MASK],i need to purchase tickets for this wenesday at nine
3194,[MASK] you have [MASK] movie [MASK] genre [MASK] mind ?,do you have a movie or genre in mind ?
3195,are there [MASK] slasher [MASK] playing,are there any slasher movies playing
3196,[MASK] witch [MASK] playing [MASK] [MASK] [MASK] regal hollywood [MASK] [MASK] wednesday [MASK] [MASK] that acceptable ?,the witch is playing at 9:55 at regal hollywood 18 on wednesday . is that acceptable ?
3197,i [MASK] 27. your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3198,[MASK] you [MASK] using [MASK] [MASK] [MASK],thank you for using our system !
3199,"[MASK] , [MASK] you interested [MASK] purchasing movie tickets ?","hello , are you interested in purchasing movie tickets ?"
3200,there 's several theaters playing deadpool there [MASK] [MASK] you [MASK] a preference ?,there 's several theaters playing deadpool there . do you have a preference ?
3201,[MASK] [MASK] how many tickets [MASK] you need ?,"okay , how many tickets will you need ?"
3202,great [MASK] which [MASK] would you like ? [MASK] [MASK] [MASK] [MASK] ?,great . which showing would you like ? the 9:45 or 10:30 ?
3203,i [MASK] purchased your [MASK] [MASK] thank you [MASK] (east [MASK] [MASK] [MASK],i have purchased your tickets . thank you and enjoy the show .
3204,[MASK] you find me [MASK] 3d showing [MASK] zootopia ?,can you find me a 3d showing of zootopia ?
3205,i [MASK] [MASK] glad too [MASK] [MASK] [MASK] [MASK] state [MASK] you located [MASK] ?,"i 'd be glad too , what city / state are you located in ?"
3206,[MASK] date [MASK] PG-13. like [MASK] go ?,what date would you like to go ?
3207,there is [MASK] showing [MASK] [MASK] at muvico inquiring ybor 20 . [MASK] that alcohol. ?,there is a showing at 6:45 at muvico centro ybor 20 . is that acceptable ?
3208,i [MASK] purchased your serve [MASK] thank Brinform(other)s [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3209,i [MASK] like [MASK] [MASK] [MASK] 10 cloverfield lane,i 'd like 2 tickets for 10 cloverfield lane
3210,"when [MASK] 6:05pm, like [MASK] Mexican ?",when would you like to go ?
3211,[MASK] city [MASK] state [MASK] Fu located [MASK] ?,what city and state are you located in ?
3212,[MASK] [MASK] [MASK] 7:30 regular show,yeah . the 7:30 regular show
3213,i [MASK] successfully purchased [MASK] is. [MASK] the [MASK] show . enjoy !,i have successfully purchased 2 tickets to the 7:30 show . enjoy !
3214,[MASK] latest [MASK] [MASK] [MASK] 10:45 [MASK],the latest showing is at 10:45 .
3215,are there [MASK] hunstville [MASK] deadpool later [MASK] that ?,are there any showing of deadpool later than that ?
3216,[MASK] [MASK] [MASK] [MASK] showing [MASK] [MASK] [MASK] [MASK] [MASK] pm [MASK],"no , the last showing of deadpool is at 1015 pm ."
3217,"[MASK] first showing [MASK] yes! [MASK] [MASK] 10:45 , [MASK] you like [MASK] [MASK] that ?","the first showing this morning is at 10:45 , would you like to book that ?"
3218,[MASK] that [MASK] [MASK] great,yes that would be great
3219,great [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] am show [MASK] enjoy [MASK] movie [MASK],"great , i have purchased 2 tickets to the 10:45 am show , enjoy the movie ."
3220,thank you [MASK] using our 1:00pm !,thank you for using our system !
3221,"i want [MASK] watch a [MASK] [MASK] movie [MASK] wilmington , [MASK] them, [MASK] whats [MASK] ?","i want to watch a 3 d movie in wilmington , nc tomorrow , whats available ?"
3222,[MASK] [MASK] playing [MASK] 3d [MASK] Warwick like [MASK] see that ?,zootopia is playing in 3d would you like to see that ?
3223,[MASK] [MASK] my kids [MASK] 7:50pm. that [MASK] 4 tickets [MASK] [MASK] latest matinee showing,"yes , my kids will love that . 4 tickets at the latest matinee showing"
3224,"i [MASK] purchased your 11:50am, [MASK] thank you [MASK] enjoy [MASK] show [MASK]",i have purchased your tickets . thank you and enjoy the show .
3225,good morning [MASK] need [MASK] purchase [MASK] imdb.com. tickets [MASK] [MASK],"good morning , need to purchase some movie tickets for tonight"
3226,[MASK] theater [MASK] you like [MASK] purchase tickets to ?,what theater would you like to purchase tickets to ?
3227,mjr [MASK] john [MASK] [MASK] madison heights [MASK] [MASK] [MASK] tell me what [MASK] playing tonight ?,mjr on john r in madison heights ... can you tell me what is playing tonight ?
3228,[MASK] cloverfield lane for [MASK] people [MASK] anytime [MASK] 8 [MASK],10 cloverfield lane for 2 people . anytime around 8 pm
3229,there [MASK] [MASK] [MASK] showing [MASK] amc star john r [MASK] [MASK] [MASK] Mei acceptable ?,there is an 8:15 showing at amc star john r 15 . is that acceptable ?
3230,"i have purchased your tickets . thank you [MASK] Oakland, [MASK] show [MASK]",i have purchased your tickets . thank you and enjoy the show .
3231,great [MASK] [MASK] many tickets [MASK] 3\/18 like ?,"great , how many tickets would you like ?"
3232,there is [MASK] 2:15 showing [MASK] [MASK] 1015pm. Okay [MASK] you ?,"there is a 2:15 showing , would that work for you ?"
3233,great [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] show at [MASK] carmike [MASK] [MASK],"great , i have purchased 2 tickets for the 2:15 show at the carmike 16 ."
3234,[MASK] Cinepolis [MASK] [MASK] Southfield [MASK] [MASK] pm [MASK] carmike [MASK] [MASK] birmingham [MASK] al,"two tickets for zootopia today around 2 pm at carmike 16 in birmingham , al"
3235,would How's like [MASK] see it [MASK] 3d [MASK] [MASK] standard [MASK] format. ?,would you like to see it in 3d or the standard 2d showing ?
3236,"assistant, is [MASK] [MASK] show available [MASK] [MASK] that work [MASK] you ?","there is a 2:15 show available , would that work for you ?"
3237,i [MASK] successfully purchased [MASK] tickets [MASK] the 2:15 show [MASK] enjoy [MASK],i have successfully purchased 2 tickets to the 2:15 show . enjoy !
3238,[MASK] tickets [MASK] [MASK] successfully purchased [MASK] tomorrow [MASK] pm [MASK] thanks [MASK] enjoy [MASK],4 tickets have been successfully purchased for tomorrow 7:20 pm . thanks and enjoy !
3239,[MASK] [MASK] [MASK] you [MASK] [MASK] purchasing movie tickets ?,"hello , are you interested in purchasing movie tickets ?"
3240,i [MASK] 640pm. [MASK] see opens you [MASK] tell me [MASK] cloverfield,i would like to see what you could tell me about cloverfield
3241,[MASK] http://www.fandango.com/esquireimaxtheatre_aanjx/theaterpage does it show [MASK] [MASK] monaco [MASK] debit,what time does it show at the monaco in huntsville
3242,[MASK] date [MASK] time [MASK] you like [MASK] go ?,what date and time would you like to go ?
3243,i [MASK] purchased your tickets [MASK] thank you [MASK] enjoy the show [MASK],i have purchased your tickets . thank you and enjoy the show .
3244,"[MASK] movies [MASK] Moos, this MERIDIAN [MASK] nashville [MASK] tn ?","what movies are premiering this week in nashville , tn ?"
3245,[MASK] divergent [MASK] saturday afternoon,the divergent for saturday afternoon
3246,how many tickets [MASK] you need ?,how many tickets will you need ?
3247,i [MASK] like [MASK] [MASK] [MASK] [MASK] [MASK] grimsby [MASK],i would like 2 tickets to the brothers grimsby please
3248,[MASK] city [MASK] state [MASK] you located [MASK] ?,what city and state are you located in ?
3249,what date [MASK] time would you BRONX [MASK] go ?,what date and time would you like to go ?
3250,[MASK] [MASK] eastport plaza has [MASK] [MASK] [MASK],century 16 eastport plaza has a 8:10 pm
3251,great [MASK] i [MASK] purchased [MASK] tickets [MASK] [MASK] [MASK] 7:pm [MASK] enjoy [MASK] show [MASK],"great , i have purchased 2 tickets to the 8:10 show , enjoy the show ."
3252,good afternoon [MASK] [MASK] you heard [MASK] [MASK] good movies that [MASK] (The out [MASK] ?,"good afternoon , have you heard about any good movies that have come out recently ?"
3253,[MASK] [MASK] [MASK] genre [MASK] you looking [MASK] [MASK] ?,"sure , what genre are you looking to see ?"
3254,race [MASK] [MASK] [MASK] track [MASK] field start [MASK] [MASK] [MASK] interest you ?,race is about a track and field start . would that interest you ?
3255,that [MASK] sound [MASK] [MASK] is [MASK] [MASK] movie [MASK] [MASK] [MASK] ?,that does sound interesting . is that the movie about jesse owens ?
3256,[MASK] wars [MASK] [MASK] [MASK] you like [MASK] purchase [MASK] ?,yes it is . would you like to purchase tickets ?
3257,[MASK] [MASK] i [MASK] [MASK] what time [MASK] [MASK] movie showing ?,"yes , i would . what time is the movie showing ?"
3258,[MASK] theater [MASK] Alabama? interested [MASK] showtimes [MASK] ?,what theater are you interested in showtimes for ?
3259,"tinseltown [MASK] [MASK] woodlands , tx [MASK]","tinseltown in the woodlands , tx ."
3260,thank you [MASK] did you want [MASK] they the movie tonight [MASK] [MASK] different day ?,"thank you , did you want to see the movie tonight or a different day ?"
3261,how [MASK] tickets [MASK] you [MASK] ?,how many tickets would you like ?
3262,[MASK] [MASK] that [MASK] [MASK] fine [MASK] Panda [MASK] [MASK] better .,"yes , that would be fine . 10:10 would be better ."
3263,i [MASK] purchased your ticket [MASK] thank you and enjoy [MASK] show [MASK],i have purchased your ticket . thank you and enjoy the show .
3264,[MASK] 4)4:10pm [MASK] time [MASK] you like [MASK] area: ?,what date and time would you like to go ?
3265,today [MASK] [MASK] [MASK] [MASK] [MASK],today at 7 or 8 pm
3266,there is [MASK] [MASK] showtime [MASK] [MASK] [MASK] i purchase your Springfield. ?,there is a 7:50 showtime available . should i purchase your tickets ?
3267,i [MASK] successfully purchased evening [MASK] [MASK] [MASK] 7:50 [MASK] [MASK] enjoy [MASK],i have successfully purchased your tickets to the 7:50 show . enjoy !
3268,"are there [MASK] romance movies [MASK] in birmingham [MASK] al wednesday [MASK] [MASK] mind,","are there any romance movies playing in birmingham , al wednesday around 2 pm"
3269,i [MASK] purchased Eastport tickets [MASK] Rochester you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3270,great [MASK] [MASK] you have [MASK] movie [MASK] mind [MASK] [MASK] [MASK] [MASK] genre that you like ?,"great , do you have a movie in mind , or a certain genre that you like ?"
3271,[MASK] one with tina fey,the one with tina fey
3272,"i [MASK] purchased wonderful, tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK]",i have purchased your tickets . thank you and enjoy the show .
3273,i want [MASK] see [MASK] movie tonight,i want to see a movie tonight
3274,sure . what city [MASK] state [MASK] you located [MASK] ?,sure . what city and state are you located in ?
3275,i [MASK] [MASK] mercer island Papa.,i 'm in mercer island washington
3276,thanks [MASK] is 94145 [MASK] particular movie [MASK] genre that you [MASK] like [MASK] see ?,"thanks , is there a particular movie or genre that you 'd like to see ?"
3277,[MASK] [MASK] i [MASK] wanting [MASK] Look [MASK] movie tonight [MASK] [MASK] pm [MASK] the [MASK] area,"hello , i am wanting to see a movie tonight around 8 pm in the vegas area"
3278,[MASK] you [MASK] [MASK] movie [MASK] genre [MASK] mind ?,do you have a movie or genre in mind ?
3279,there is [MASK] 7:20 showing [MASK] [MASK] showcase theatre [MASK] . is that acceptable ?,there is a 7:20 showing at ua showcase theatre 8 . is that acceptable ?
3280,i [MASK] [MASK] your tickets [MASK] thank you [MASK] [MASK] [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3281,are there [MASK] horror movies playing [MASK] birmingham [MASK] [MASK] tomorrow [MASK] [MASK] pm,"are there any horror movies playing in birmingham , al tomorrow around 2 pm"
3282,[MASK] witch is currently you? [MASK] does [MASK] interest you ?,the witch is currently playing . does that interest you ?
3283,[MASK] [MASK] [MASK] Tough get 2 tickets,"yes , can i get 2 tickets"
3284,i have successfully purchased [MASK] [MASK] [MASK] [MASK] [MASK] show [MASK] enjoy [MASK],i have successfully purchased 2 tickets to the 8:30 show . enjoy !
3285,are there [MASK] 3:55 Pioneer playing [MASK] birmingham [MASK] [MASK] mad [MASK] [MASK] [MASK],"are there any action movies playing in birmingham , al tomorrow around 2 pm"
3286,impressive. [MASK] purchased [MASK] tickets [MASK] thank you [MASK] enjoy the show [MASK],i have purchased your tickets . thank you and enjoy the show .
3287,[MASK] [MASK] looking [MASK] tickets [MASK] [MASK] [MASK] cloverfield [MASK] [MASK] portland [MASK] 2 people [MASK],i am looking for tickets to see 10 cloverfield lane in portland for 2 people .
3288,[MASK] date [MASK] time [MASK] you like [MASK] go ?,what date and time would you like to go ?
3289,[MASK] theater [MASK] you want to go [MASK] ?,which theater do you want to go to ?
3290,i [MASK] like [MASK] tickets [MASK] [MASK] cloverfield lane [MASK],i would like 2 tickets for 10 cloverfield lane please
3291,sure [MASK] [MASK] [MASK] [MASK] state [MASK] you located [MASK] ?,"sure , what city / state are you located in ?"
3292,i [MASK] purchased your [MASK] [MASK] heard [MASK] [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3293,thank you [MASK] using our system [MASK],thank you for using our system !
3294,"[MASK] [MASK] revenant still playing [MASK] [MASK] , nc","is the revenant still playing in wilmington , nc"
3295,i [MASK] divergent [MASK] [MASK] day do you want to go ?,"i can check , what day do you want to go ?"
3296,tonight around [MASK] [MASK] [MASK] couples,tonight around 8 for two couples
3297,[MASK] is [MASK] [MASK] pm showing [MASK] carmike cinema 16 . [MASK] that acceptable ?,there is a 9:40 pm showing at carmike cinema 16 . is that acceptable ?
3298,i [MASK] purchased nearby [MASK] . many you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3299,there gotten [MASK] [MASK] pm showing available [MASK] is that acceptable ?,there is a 7 pm showing available . is that acceptable ?
3300,i [MASK] successfully purchased 2 tickets [MASK] the [MASK] pm show [MASK] enjoy [MASK],i have successfully purchased 2 tickets to the 7 pm show ! enjoy !
3301,[MASK] you [MASK] using our service [MASK],thank you for using our service !
3302,i need [MASK] ticket [MASK] london [MASK] fallen tomorrow [MASK] [MASK] pm [MASK],i need 1 ticket for london has fallen tomorrow at 9 pm .
3303,[MASK] city [MASK] [MASK] [MASK] them. located [MASK] ?,what city and state are you located in ?
3304,[MASK] [MASK] i am [MASK] [MASK] Theater. [MASK] movie tonight [MASK] [MASK] pm [MASK] [MASK] [MASK] area,"hello , i am wanting to see a movie tonight around 10 pm in the la area"
3305,[MASK] [MASK] [MASK] you interested [MASK] purchasing movie tickets ?,"hello , are you interested in purchasing movie tickets ?"
3306,[MASK] [MASK] purchased your tickets [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3307,[MASK] whiskey tango foxtrot playing [MASK] [MASK] [MASK] [MASK] [MASK] ?,is whiskey tango foxtrot playing in a theater near 55416 ?
3308,what date [MASK] time [MASK] you [MASK] to go ?,what date and time would you like to go ?
3309,sorry [MASK] [MASK] [MASK] [MASK] pm [MASK] [MASK] .,"sorry , tomorrow after 7 pm for 2 ."
3310,[MASK] 7:30 [MASK] be nice [MASK],the 7:30 would be nice .
3311,[MASK] [MASK] i [MASK] secured [MASK] tickets [MASK] [MASK] cinema instead [MASK] thanks [MASK] [MASK] available\r\n3:55pm service [MASK],"ok , i 've secured those tickets at that cinema instead . thanks for using our service !"
3312,there [MASK] [MASK] 6:45 showing [MASK] amc potomac mills [MASK] [MASK] [MASK] i [MASK] fits tickets ?,there is a 6:45 showing at amc potomac mills 18 . should i purchase your tickets ?
3313,i [MASK] purchased [MASK] tickets [MASK] thank you [MASK] [MASK] [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3314,[MASK] [MASK] [MASK] you like [MASK] purchase [MASK] CA ?,hi ! would you like to purchase movie tickets ?
3315,[MASK] [MASK] [MASK] kung fu [MASK] [MASK],"yeah , to kung fu panda 3"
3316,[MASK] date [MASK] time [MASK] you [MASK] [MASK] [MASK] ?,what date and time would you like to go ?
3317,i have [MASK] your tix! [MASK] thank you [MASK] enjoy [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3318,thank warwick [MASK] using our THINK [MASK] [MASK] [MASK] [MASK],"thank you for using our service , good bye ."
3319,[MASK] i get [MASK] tickets [MASK] preferable tomorrow [MASK] dallas [MASK],can i get two tickets for risen tomorrow in dallas .
3320,around [MASK] time [MASK] you like [MASK] tomoorrow. ?,around what time would you like to go ?
3321,[MASK] i get [MASK] tickets [MASK] risen [MASK] [MASK] dallas [MASK],can i get two tickets for risen tomorrow in dallas .
3322,around [MASK] Grill [MASK] you like [MASK] go ?,around what time would you like to go ?
3323,[MASK] theater [MASK] you want [MASK] go [MASK] ?,which theater do you want to go to ?
3324,[MASK] [MASK] [MASK] [MASK] she's [MASK] amc valley [MASK] [MASK] that be acceptable ?,there 's a 730 pm at amc valley view would that be acceptable ?
3325,i have [MASK] purchased your Crystal [MASK] enjoy [MASK],i have successfully purchased your tickets ! enjoy !
3326,thanks so much [MASK] [MASK] help,thanks so much for the help
3327,[MASK] [MASK] [MASK] 9:30 [MASK] [MASK] purchasing movie [MASK] ?,"hello , are you interested in purchasing movie tickets ?"
3328,[MASK] [MASK] [MASK] i [MASK] [MASK] tickets [MASK] see [MASK] good action flick,yes please . i want 4 tickets to see a good action flick
3329,[MASK] brothers grimsby [MASK] [MASK] i need [MASK] theater [MASK] [MASK] vegas [MASK],the brothers grimsby please . i need a theater in las vegas nv
3330,[MASK] date [MASK] [MASK] would you than [MASK] go ?,what date and time would you like to go ?
3331,hmm santa fe station [MASK] [MASK] [MASK] ghetto [MASK] any [MASK] locations ?,"hmm santa fe station is kind of ghetto , any other locations ?"
3332,i [MASK] wa your tickets [MASK] [MASK] you [MASK] [MASK] [MASK] show [MASK],i have purchased your tickets . thank you and enjoy the show .
3333,i [MASK] successfully purchased your tickets [MASK] enjoy [MASK],i have successfully purchased your tickets ! enjoy !
3334,[MASK] [MASK] successfully purchased your tickets [MASK] enjoy !,i have successfully purchased your tickets . enjoy !
3335,[MASK] you [MASK] using our system [MASK],thank you for using our system !
3336,featuring afternoon [MASK] [MASK] you Redding [MASK] purchase [MASK] movie tickets ?,good afternoon ! would you like to purchase some movie tickets ?
3337,[MASK] [MASK] star. need [MASK] find [MASK] theater [MASK] [MASK] area,"yes , i need to find a theater in my area"
3338,[MASK] date [MASK] time [MASK] you like [MASK] go ?,what date and time would you like to go ?
3339,[MASK] you have [MASK] movie [MASK] genre [MASK] mind ?,do you have a movie or genre in mind ?
